".\VolumeSampling.exe -i .\Dragon_50k.obj -o Dragon_50k.vtk --viscosity 0.05 -r 0.04 -s "2.5 2.5 2.5""
"id","Points:0","Points:1","Points:2"
575,0.68007,0.36209,-0.33755
576,0.74235,0.36656,-0.30878
577,0.82445,0.35516,-0.32007
578,-1.0007,0.46204,-0.31485
579,-0.98494,0.41127,-0.29513
580,-0.88492,0.43285,-0.30828
581,-0.7954,0.44582,-0.28557
582,-0.72068,0.4298,-0.29402
583,-0.64213,0.45605,-0.30617
584,-0.5771,0.44089,-0.31084
585,-0.52435,0.46471,-0.29727
586,-0.42357,0.42426,-0.27322
587,-0.33972,0.42825,-0.29029
588,-0.26993,0.43778,-0.30593
589,-0.19163,0.42671,-0.29517
590,-0.11035,0.43111,-0.27854
591,-0.021448,0.42148,-0.29299
592,0.021923,0.44049,-0.25439
593,0.3418,0.43822,-0.27283
594,0.41196,0.43075,-0.28582
595,0.49448,0.4317,-0.27295
596,0.57234,0.43199,-0.27922
597,0.65628,0.42786,-0.28376
598,0.75177,0.45534,-0.26729
599,0.78851,0.41605,-0.29555
600,-0.99647,0.51919,-0.34212
601,-0.91339,0.49978,-0.32483
602,-0.84011,0.49247,-0.32837
603,-0.76789,0.51697,-0.3435
604,-0.7136,0.48481,-0.31984
605,-0.45881,0.48406,-0.30827
606,-0.39473,0.50818,-0.32382
607,-0.33409,0.49841,-0.35018
608,-0.22938,0.49696,-0.34065
609,-0.14814,0.49663,-0.31362
610,-0.043362,0.49561,-0.35047
611,0.0020088,0.49429,-0.31718
612,0.36992,0.49371,-0.31983
613,0.45182,0.50562,-0.31689
614,0.52901,0.50224,-0.3327
615,0.61119,0.50543,-0.33504
616,0.69298,0.49476,-0.32345
617,0.75971,0.47481,-0.33727
618,-1.0125,0.55815,-0.29555
619,-0.92787,0.55816,-0.27207
620,-0.8646,0.59205,-0.31996
621,-0.81574,0.55668,-0.29914
622,-0.413,0.54647,-0.27453
623,-0.35902,0.58283,-0.28716
624,-0.27002,0.56123,-0.28912
625,-0.19763,0.56746,-0.29772
626,-0.11359,0.56375,-0.29599
627,-0.035463,0.56619,-0.28991
628,0.054669,0.54788,-0.29698
629,0.093918,0.5603,-0.24489
630,0.36745,0.54882,-0.27736
631,0.39549,0.5923,-0.30764
632,0.48392,0.56764,-0.29771
633,0.56811,0.56156,-0.27868
634,0.649,0.56032,-0.29406
635,0.74412,0.54488,-0.30397
636,0.77301,0.58814,-0.26836
637,-0.97775,0.59556,-0.31503
638,-0.91801,0.60453,-0.33363
639,-0.30956,0.62559,-0.30845
640,-0.2631,0.63816,-0.34188
641,-0.15707,0.62955,-0.31905
642,-0.066677,0.63022,-0.32113
643,0.031682,0.63014,-0.35966
644,0.070726,0.61778,-0.31975
645,0.43146,0.63309,-0.33189
646,0.52349,0.63299,-0.32224
647,0.60087,0.63122,-0.33656
648,0.68018,0.62003,-0.32772
649,0.75915,0.61529,-0.34051
650,0.79607,0.64583,-0.30817
651,-0.2769,0.70345,-0.2841
652,-0.19291,0.69669,-0.2826
653,-0.11751,0.6958,-0.30196
654,-0.035775,0.69245,-0.29785
655,0.042391,0.69361,-0.29062
656,0.11856,0.6822,-0.30276
657,0.15158,0.70453,-0.25836
658,0.4371,0.67683,-0.28187
659,0.47933,0.72137,-0.3087
660,0.55301,0.69888,-0.29432
661,0.6422,0.69408,-0.28326
662,0.72418,0.6924,-0.30244
663,0.83114,0.6916,-0.30078
664,0.85886,0.71306,-0.25725
665,-0.2259,0.75852,-0.3105
666,-0.18691,0.76245,-0.35412
667,-0.090503,0.75518,-0.3232
668,4.4312e-05,0.75267,-0.32702
669,0.10675,0.74415,-0.35068
670,0.14615,0.76418,-0.31227
671,0.5204,0.76775,-0.32844
672,0.60678,0.76278,-0.32398
673,0.68408,0.75982,-0.33371
674,0.76477,0.76105,-0.32197
675,0.8449,0.74968,-0.33934
676,0.88334,0.77028,-0.29933
677,-0.20683,0.83452,-0.28749
678,-0.1262,0.82446,-0.28403
679,-0.041187,0.82277,-0.28329
680,0.036196,0.82579,-0.27596
681,0.11393,0.82774,-0.28298
682,0.19819,0.83266,-0.2768
683,0.54889,0.83168,-0.30016
684,0.63292,0.82916,-0.2857
685,0.72019,0.82642,-0.27765
686,0.80524,0.82831,-0.30124
687,0.90833,0.82819,-0.31056
688,0.93516,0.83732,-0.26111
689,-0.14817,0.88589,-0.33648
690,-0.079507,0.89018,-0.31138
